MangaHere@Mahou Shoujo Fatal Fate|(OneShot)Mahou Shoujo Fatal Fate
MangaHere@Majutsushi Orphen Hagure Tabi|(Completed)Majutsushi Orphen Hagure Tabi
MangaHere@Pandora Hearts|(Completed)Pandora Hearts
MangaHere@Senjou no Valkyria 2 - Soukou no Aliasse|(Completed)Senjou no Valkyria 2 - Soukou no Aliasse
Ansatsu Kyoushitsu|(Completed)Ansatsu Kyoushitsu
Boku no Futatsu no Tsubasa|(Completed)Boku no Futatsu no Tsubasa
Cage of Eden|(Completed)Cage of Eden
Choujin Gakuen|(Completed)Choujin Gakuen
Get Backers|(Completed)Get Backers
Ghost Sweeper Mikami|(Completed)Ghost Sweeper Mikami
Happy World!|(Completed)Happy World!
Kono Kanojo wa Fiction desu|(Completed)Kono Kanojo wa Fiction desu
Majutsushi Orphen Hagure Tabi Max|(Completed)Majutsushi Orphen Hagure Tabi Max
Moriguchi Orito no Teiougaku|(Completed)Moriguchi Orito no Teiougaku
My Daughter’s Girlfriend|(OneShot)My Daughter’s Girlfriend
Ou Dorobou Jing|(Completed)Ou Dorobou Jing
Rozen Maiden II|(Completed)Rozen Maiden II
Shiroi Heya no Futari|(OneShot)Shiroi Heya no Futari
Shounen yo Taishi o Dake!|(Completed)Shounen yo Taishi o Dake!
Someday's Dreamers|(Completed)Someday's Dreamers
Someday's Dreamers Spellbound|(Completed)Someday's Dreamers Spellbound
Soukyuu no Lapis Lazuli|(Completed)Soukyuu no Lapis Lazuli
Sumomomo Momomo|(Completed)Sumomomo Momomo
Tandem Lover|(Completed)Tandem Lover
Tasogare Otome x Amnesia|(Completed)Tasogare Otome x Amnesia
Tenjou Tenge|(Completed)Tenjou Tenge
The World Ends With You|(OneShot)The World Ends With You
Today In Class 5-2|(Completed)Today In Class 5-2
Velvet Kiss|(Completed)Velvet Kiss
MangaHere@Ano Ko ga Watashi o Onna ni Suru|(OneShot)Ano Ko ga Watashi o Onna ni Suru
MangaHere@Anta Miteru to Muramura Sunda Kedo|(OneShot)Anta Miteru to Muramura Sunda Kedo
MangaHere@Love Flicker|(OneShot)Love Flicker
